id,name,address,lat,lon,station_deux_roues,nbre_pdc,puissance_nominale
0, 017a012b-1701-4a2c-a262-2d5dfd1ff1fd,2 Avenue du Souvenir Francais 13210 Saint-Rémy-de-Provence ,43.78639927025314,4.828324822319736,false,5,12
1, 1 AVENUE DE LA DEMI-LUNE 95700 ROISSY EN FRAN,1 AVENUE DE LA DEMI-LUNE 95700 ROISSY EN FRANCE,49.00741,2.49332,0,6,22
2, 1 AVENUE GEORGES POMPIDOU 81500 LAVAUR,1 AVENUE GEORGES POMPIDOU 81500 LAVAUR,43.6986226,1.8088319,0,6,22
3, 1 LE POINT DU JOUR 56800 GUILLAC,1 LE POINT DU JOUR 56800 GUILLAC,47.93774,-2.53533,0,1,22
4, 1 RTE DE SAINT-LÔ Campanile Bayeux 14400 BAY,Angle du Boulevard Maréchal Leclerc et Rte de Saint-Lô Campanile Bayeux 14400 BAYEUX,49.26989,-0.70653,0,7,22
5, 1 RUE BERTHELOT DRANCY,1 RUE BERTHELOT DRANCY,48.921675,2.445813,FALSE,2,7
6, 1 RUE DAGUERRE 44000 NANTES,1 RUE DAGUERRE 44000 NANTES,47.27488,-1.51079,0,5,22
7, 1 RUE DU PÔLE Hôtel Campanile / 1ère Classe 3,1 RUE DU PÔLE Hôtel Campanile / 1ère Classe 31200 TOULOUSE,43.64659,1.41904,0,6,22
8, 1 rue de la Rolandière Chateauform Faverges de la Tour,1 Rue De La Rolandière 38110 Faverges-de-la-Tour,45.589545,5.52744,false,4,22
9, 1-3 AVENUE HENRI BEQUEREL 33700 MERIGNAC,1-3 AVENUE HENRI BEQUEREL 33700 MERIGNAC,44.83663,-0.68742,0,9,22
10, 102 RUE DE BÉHOBIE Campanile Hendaye 64700 HE,102 RUE DE BÉHOBIE Campanile Hendaye 64700 HENDAYE,43.347791,-1.7676803,0,6,22
11, 11 RUE DE LA FONTAINE Le Relais des Deux Tou,11 RUE DE LA FONTAINE Le Relais des Deux Tours 25530 BREMONDANS,47.2301757,6.3972469,0,1,22
12, 11-13 AVENUE NEIL ARMSTRONG 33700 MERIGNAC,11-13 AVENUE NEIL ARMSTRONG 33700 MERIGNAC,44.83848,-0.69241,0,11,22
13, 1123 AVENUE ANATOLE DE MONZIE 46000 CAHORS,1123 AVENUE ANATOLE DE MONZIE 46000 CAHORS,44.4310474,1.4444564,0,1,22
14, 12 RUE ERNEST RENAN 76800 SAINT-ETIENNE DE RO,12 RUE ERNEST RENAN 76800 SAINT-ETIENNE DE ROUVRAY,49.39868,1.06692,0,5,22
15, 13 RUE DE JUDÉE 62100 CALAIS,13 RUE DE JUDÉE 62100 CALAIS,50.94862,1.9126,0,5,22
16, 13 RUE DE LA HAYE 67300 SCHILTIGHEIM,13 RUE DE LA HAYE 67300 SCHILTIGHEIM,48.61386,7.70763,0,5,22
17, 14 RUE FRANCOIS ARAGO 33700 MERIGNAC,14 RUE FRANCOIS ARAGO 33700 MERIGNAC,44.85581,-0.6683,0,6,22
18, 14-16 ALLÉE DE LA FORÊT DE LA REINE 54500 VAN,14-16 ALLÉE DE LA FORÊT DE LA REINE 54500 VANDOEUVRE-LES-NANCY,48.656201,6.1307576,0,5,22
19, 1405 CHEMIN DE FRAISAL SUEJOL Mas Suéjol 3014,1405 CHEMIN DE FRAISAL SUEJOL Mas Suéjol 30140 ANDUZE (GDF),44.045159,3.963894,0,3,22
20, 1689 ROUTE DE SAINT TRIVIER - CESSEINS B&B L,1689 Route de Saint-Trivier - Cessiens B&b La Cerisaie 01090 FRANCHELINS (GDF),46.074,4.8285,0,1,22
21, 17 RUE DU VERTUQUET 59960 NEUVILLE EN FERRAIN,17 RUE DU VERTUQUET 59960 NEUVILLE EN FERRAIN,50.75603,3.16322,0,7,22
22, 19 ALLÉE JAMES WATT 33700 MERIGNAC,19 ALLÉE JAMES WATT 33700 MERIGNAC,44.8294,-0.67366,0,10,22
23, 19 ALLÉE JAMES WATT 33700 MERIGNAC,19 ALLÉE JAMES WATT 33700 MERIGNAC,44.8293959,-0.6736627,0,10,22
24, 19 AVENUE NEIL ARMSTRONG Le Caucase 33700 ME,19 AVENUE NEIL ARMSTRONG Le Caucase 33700 MERIGNAC,44.83914,-0.69173,0,6,22
25, 19 RUE DE LA RESISTANCE - SAINT TROPEZ,19 RUE DE LA RESISTANCE - SAINT TROPEZ,43.268741,6.643206,FALSE,2,22
26, 1PACTE,Chem. de Chabanu 13120 Gardanne,43.476583984941,5.476711409891,FALSE,2,22
27, 2 Allée Ulysse Gayon LSB Martillac,2 Allée Ulysse Gayon 33650 Martillac,44.70702,-0.586486,false,2,22
28, 2 RUE DES COURTILLONS 35170 BRUZ,2 RUE DES COURTILLONS 35170 BRUZ,48.03477,-1.75914,0,5,22
29, 2-4 RUE EDOUARD NIGNON 44000 NANTES,2-4 RUE EDOUARD NIGNON 44000 NANTES,47.2756,-1.5103,0,5,22
30, 20 RUE BLAISE PASCAL 54000 MAXEVILLE,20 RUE BLAISE PASCAL 54320 MAXEVILLE,48.7045081,6.1385568,0,6,22
31, 200 RUE LEONARD DE VINCI 45400 SEMOY,200 RUE LEONARD DE VINCI 45400 SEMOY,47.92535,1.95353,0,5,22
32, 21 AVENUE NEIL ARMSTRONG LE WINCH 33700 MERI,21 AVENUE NEIL ARMSTRONG LE WINCH 33700 MERIGNAC,44.83911,-0.69107,0,5,22
33, 21 BOULEVARD DES ILES - ISSY LES MOULINEAUX,21 BOULEVARD DES ILES - ISSY LES MOULINEAUX,48.822635,2.249932,FALSE,6,7
34, 2229 ROUTE DES CRÊTES 06560 VALBONNE,2229 ROUTE DES CRÊTES 06560 VALBONNE,43.626933,7.045463,0,14,22
35, 27 BOULEVARD GALLIENI - ISSY-LES-MOULINEAUX,27 BOULEVARD GALLIENI - ISSY-LES-MOULINEAUX,48.827423,2.26765,FALSE,6,7
36, 270 AGENCY,23 Chemin d'Arcins Parc d'activité Tanesse 33360 Latresne,44.80124139894823,-0.5108443014957409,False,1,22
37, 276 CHEMIN DU CANAL À PAN BLANC Gîte Arleya ,276 CHEMIN DU CANAL À PAN BLANC Gîte Arleya 13200 ARLES (GDF),43.665,4.68152,0,1,22
38, 281 CHEMIN DE JALAVOIR 74910 CHALLONGES,281 CHEMIN DE JALAVOIR 74910 CHALLONGES,46.02002,5.83448,0,1,22
39, 2A Automobiles,7 route de Riom,46.01405490199754,3.2001838828882567,false,1,22
40, 2A RUE DANTON 92120 MONTROUGE,2A RUE DANTON 92120 MONTROUGE,48.81809,2.32922,0,6,22
41, 2ED,ZA des grands champs,48.7561,-0.6492,false,2,22
42, 2ED,55 rue de normandie,49.1928486,-0.2943536,false,2,22
43, 2ED,4 rue de la glacerie 50200 Coutances,49.0802,-1.3852,true,2,22
44, 2ED LOISTIQUE,127 rue de Normandie,49.1011474,-1.0873826,false,2,22
45, 3 AVENUE PAUL PROSPER GUILHEM 1ere Classe Ange,3 AVENUE PAUL PROSPER GUILHEM Campanile Angers 49070 BEAUCOUZÉ,47.469234,-0.616503,0,1,22
46, 3 AVENUE PAUL PROSPER GUILHEM 1ere Classe Ange,3 AVENUE PAUL PROSPER GUILHEM Campanile Angers 49070 BEAUCOUZÉ,47.46923,-0.6165,0,1,22
47, 3 Brasseurs Arras,1 Rue Ampère,50.299604,2.7384301,False,3,50
48, 3 Brasseurs Saint Pierre,4 Allée De La Zone 97410 Saint-Pierre,-21.3231281,55.47542465,false,4,7
49, 3 RUE DU MARAIS Campanile Creil 60870 ST PAU,3 RUE DU MARAIS Campanile Creil 60870 ST PAUL,49.28345,2.488,0,7,22
50, 3 avenue du midi bis Budget Saint-gaudens 318,3 avenue du midi ibis Budget Saint-gaudens 31800 ESTANCARBON,43.11394,0.7605,0,6,22
51, 30 RUE PAUL LANGEVIN 59260 LEZENNES,30 RUE PAUL LANGEVIN 59260 LEZENNES,50.616,3.1037,0,5,22
52, 30 Rue des Murgers,30 Rue des Murgers 28200,48.040626,1.470213,false,1,22
53, 300 Route de Tahiti 83350 - Ramatuelle,300 Route de Tahiti 83350 - Ramatuelle,43.250875,6.657337,FALSE,2,22
54, 32 AVENUE ARISTIDE BRIAND 94110 ARCUEIL,32 AVENUE ARISTIDE BRIAND 94110 ARCUEIL,48.808581,2.325883,0,11,22
55, 32 RUE DE REMENAUVILLE 54000 NANCY,32 RUE DE REMENAUVILLE 54000 NANCY,48.68465,6.20112,0,6,22
56, 33 ROUTE DE BAYONNE Campanile Purpan 31300 TO,33 ROUTE DE BAYONNE Campanile Purpan 31300 TOULOUSE,43.60755,1.394,0,6,22
57, 3MI,RUE DU COMMERCE,50.3941188,3.6032602,0,2,22
58, 4 AVENUE NEIL ARMSTRONG le Mermoz 33700 MERIG,4 AVENUE NEIL ARMSTRONG le Mermoz 33700 MERIGNAC,44.8374219,-0.6923713,0,6,22
