id,name,address,lat,lon,station_deux_roues,nbre_pdc,puissance_nominale
0, Nouméa Engie,15 rue Jean Chalier 98800 Nouméa,-22.2461,166.462,false,2,7
1, Dumbéa Avenue des Télégraphes,77 avenue des Télégraphes 98835 Dumbéa,-22.1962,166.4454,false,2,50
2, TotalEnergies Saint-Philippe,Rue Leconte de Lisle 97442 Saint-Philippe,-21.3598,55.7659,false,1,22
3, CIVIS - Parking Volnay,Rue Des Bons Enfants 97410 Saint-Pierre,-21.3386997,55.46906132,false,2,22
4, CIVIS - Parking Luc Donat,179 Avenue Luc Donat 97410 Saint-Pierre,-21.334427,55.4593,false,2,22
5, Saint-Pierre Renault,100 avenue Luc Donat Ravine Blanche 97410 Saint-Pierre,-21.3343,55.4602,false,4,22
6, Engen Ravine Blanche - Saint-Pierre Hager,235 rue Marius et Ary Leblond 97410 Saint-Pierre,-21.3341,55.46099,false,1,22
7, CIVIS - Parking Cadjee,4 Rue De La Poudrière 97410 Saint-Pierre,-21.3325437,55.45680189,false,3,22
8, Saint-Pierre IMMODEX,1 Avenue Des Oceanites 97410 Saint-Pierre,-21.3289561,55.4681296,false,8,22
9, Saint-Pierre IMMODEX,1 Avenue Des Oceanites 97410 Saint-Pierre,-21.3289511,55.46815625,false,8,22
10, Saint-Pierre IMMODEX,1 Avenue Des Oceanites 97410 Saint-Pierre,-21.3289489,55.46816129,false,8,22
11, Saint-Pierre IMMODEX,1 Avenue Des Oceanites 97410 Saint-Pierre,-21.3289464,55.46814331,false,8,22
12, Saint-Pierre IMMODEX,1 Avenue Des Oceanites 97410 Saint-Pierre,-21.3289361,55.46813475,false,8,22
13, Saint-Pierre IMMODEX,1 Avenue Des Oceanites 97410 Saint-Pierre,-21.3289264,55.46817615,false,8,22
14, Saint-Pierre Norauto,25 rue des amphiboles ZAC Canabady 97410 Saint-Pierre,-21.3289,55.4684,false,4,22
15, Saint-Pierre Mr Bricolage,ZAC Canabady 97410 Saint-Pierre,-21.3275523,55.46775447,false,2,22
16, Saint Pierre Centre Commercial Grand Sud,1 Avenue Des Oceanites 97410 Saint-Pierre,-21.327415,55.471785,false,2,22
17, Saint-Pierre Rue des olivines,Rue Des Olivines 97410 Saint-Pierre,-21.3245085,55.47332648,false,6,22
18, 3 Brasseurs Saint Pierre,4 Allée De La Zone 97410 Saint-Pierre,-21.3231281,55.47542465,false,4,7
19, Burger King Saint Pierre,3 Chemin De La Zone 97410 Saint-Pierre,-21.3225547,55.47474772,false,2,22
20, TotalEnergies Pierrefond,17 RN1 97410 Pierrefond,-21.3213,55.446,false,1,36
21, Tennis Club Saint Pierre,76 chemin Rebecca Stephane 97410 Saint Pierre,-21.3170725,55.46983122,false,4,7
22, Engen Ligne Paradis - Saint-Pierre IES,73 route de la Ligne Paradis 97410 Saint-Pierre,-21.3136,55.47581,false,2,22
23, Engen RD26 avec partenariat,D26 97410 Saint-Pierre,-21.2976,55.439,false,1,22
24, TotalEnergies Le Gol,N1C Le Centre 97410 Saint Pierre,-21.2831,55.4001,false,1,50
25, Burger King Saint Louis,Plane du Gol 97450 Saint-Louis,-21.2820316,55.39766347,false,2,24
26, TotalEnergies La Châtoire,Avenue de l'Europe 97430 Le Tampon,-21.28043,55.5014,false,1,50
27, Engen Etang Salé DELTA,Route Des Sables 97427 L' Étang-Salé,-21.279779,55.365753,false,3,100
28, Super U Etang Salé,22 Rue Pere Van Berlo 97427 L' Étang-Salé,-21.265831,55.366612,false,4,7
29, TotalEnergies Piscine,82 Rue Charles Baudelaire 97430 Le Tampon,-21.257457,55.503491,false,1,22
30, Engen Les Avirons Hager,82 avenue du Général de Gaulle 97424 Les Avirons,-21.2441,55.33345,false,1,22
31, Saint-Leu Rue du Pressoir,5 Rue du Pressoir 97436 Saint-Leu,-21.2188338,55.30042911,false,4,7
32, E.Leclerc Piton-Saint-Leu,Rue Du Moulin 97424 Saint-Leu,-21.21755,55.30127614,false,8,22
33, Engen Plaine-des-Cafres avec partenariat,27ème KM - RN3 97418 La-plaine-des-Cafres,-21.204,55.5726,false,1,22
34, Saint-Leu Rue du trésor,1 Rue Du Trésor 97436 Saint-Leu,-21.168965,55.288081,false,1,7
35, Engen Cilaos avec partenariat,Rue des Trois Mares 97413 Cilaos,-21.1373,55.4741,false,1,7
36, Boulodrome - Plaine des Palmistes,198 Rue De La République 97431 La Plaine-des-Palmistes,-21.1329182,55.63067564,false,2,22
37, TotalEnergies Tamarins,Route des Tamarins 97422 La Saline Les Hauts,-21.0889,55.257,false,2,22
38, Engen Lagon avec partenariat,Route du Trou d'Eau 97434 Saint-Gilles-les-Bains,-21.0828,55.2307,false,1,22
39, Engen Saint-Benoît Bras-Fusil DELTA,11 RN3 97470 Saint-Benoît,-21.0522,55.7149,false,3,22
40, Engen L'Eperon - Saint-Paul IES,2 rue Terrain-l'avion 97460 Saint-Paul,-21.0427,55.25128,false,2,22
41, TotalEnergies Théâtre,Route du Théâtre 97434 Saint-Gilles les Bains,-21.0401,55.2237,false,1,50
42, Engen Le Guillaume avec partenariat,RD7 97423 Le Guillaume,-21.04,55.304,false,1,7
43, TotalEnergies Saint-Benoit,Avenue Jean Jaurès 97470 Saint-Benoit,-21.0381,55.7171,false,1,22
44, Saint-Benoît Centre commercial Beaulieu,18 ter chemin Goyaves 97470 Saint-Benoît,-21.033494,55.70402909,false,2,22
45, TotalEnergies Bras-Panon,N2002 97412 Bras-Panon,-20.9961,55.6787,false,1,22
46, Engen La Plaine - Saint-Paul IES,Rue Frédéric Payet 97460 Saint-Paul,-20.9791,55.31783,false,2,22
47, Super U - Saint André,200 Rue Du Lycée 97440 Saint-André,-20.9630462,55.65178355,false,4,24
48, TotalEnergies Moulin Joli,Avenue de la Palestine / ZAC Moulin Joli 97419 La Possession,-20.9621,55.3261,false,1,22
49, Atlas Saint André,10 Chemin Lefaguyes 97440 Saint-André,-20.961651,55.660558,false,4,24
50, TotalEnergies Saint-André,Avenue Ile de France 97440 Saint-André,-20.9511,55.6487,false,1,50
51, TotalEnergies ZAC 2000,N1 97420 Le Port,-20.9499,55.3191,false,1,50
52, EASYPLUG SEMIR LE PORT,16 rue Claude Chappe Le Port 97420 La Reunion,-20.949535369873047,55.3159294128418,false,1,22.08
53, Le Port Renault,15 rue Charles Darwin Zac 2000 97407 Le Port,-20.9455,55.3183,false,2,22
54, Le Port Avenue Lénine Parking Oasis 4ème étage,30 Avenue Lénine 97420 Le Port,-20.9435549,55.30034399,false,3,22
55, Engen Oasis - Le Port Hager,89 rue du Général de Gaulle 97420 Le Port,-20.9429,55.29748,false,1,22
56, Engen La Possession IES,96 rue Mahatma Ghandi 97419 La Possession,-20.9426,55.3292,false,2,22
57, TotalEnergies Cambuston,112 Route de Cambuston 97440 Saint-André,-20.9323,55.6423,false,1,22
58, Sainte-Suzanne Centre Commercial Grand Est P2,27 Avenue Mahatma Gandhi 97441 Sainte-Suzanne,-20.929436,55.6343988,false,4,22
59, Sainte-Suzanne Centre Commercial Grand Est P1,27 Avenue Mahatma Gandhi 97441 Sainte-Suzanne,-20.9292757,55.632901,false,2,22
60, Speedy Réunion Sainte Suzanne,4 avenue Mahatma Gandhi 97441 Sainte-Suzanne,-20.9288,55.6346,false,2,11
61, Engen Sainte-Marie Beauséjour IES,Rue Fleur de Jade 97438 Sainte-Marie,-20.9172,55.5298,false,2,24
62, Sainte Suzanne Burger King La Marine,4e Rue Des Pêcheurs 97441 Sainte-Suzanne,-20.914099,55.618326,false,4,22
63, LM - Le port (ile de la Réunion),43 Rue Michel Ange Sainte-Marie 97438 La Réunion,-20.901617,55.51791,false,10,7.36
64, TotalEnergies Bd Sud,2 rue de la Guadeloupe 97490 Sainte-Clotilde,-20.9015,55.49691,false,2,50
65, Saint-Denis  Rue du stade de l’est,5 Rue Du Stade De L'est 97490 Saint-Denis,-20.898202,55.50175,false,6,22
66, TotalEnergies Ste-Marie-les-Cafés,N2 97438 Sainte-Marie,-20.8982,55.5675,false,2,22
